experiment_id,dataset,split,method,HOTA,MOTA,IDF1,AssA,DetA,IDSW,tracker_FPS
M17-ABL-OCSORT-001,MOT17,ablation,OC-SORT,66.441,74.550,77.901,69.112,64.237,229,243.083
M17-ABL-REV-FULL-001,MOT17,ablation,ReEKF-SORT,66.418,75.103,77.745,68.662,64.634,168,140.886
M20-ABL-OCSORT-001,MOT20,ablation,OC-SORT,72.253,87.406,86.948,71.292,73.413,660,44.114
M20-ABL-REV-FULL-001,MOT20,ablation,ReEKF-SORT,71.009,87.358,85.149,69.037,73.244,839,9.5
